"id","zh","pro","sss","ssx","zl","zm","item","ir","iw","jd","wd","jm","zz","ly","xly","class","jjsw","bzsw","xxsw","zcsw","htz","time","update_time"
"142","63009420","浙江省","湖州市","安吉县","RR","双渔塘水库","PZ","1","1","119.374632","30.408899",,,"苕溪",,,,,,,,,"2/12/2021 10:58:00"
"143","63009430","浙江省","湖州市","安吉县","RR","白沙坞水库","PZ","1","1","119.341659","30.479996",,,"苕溪",,,,,,,,,"2/12/2021 10:57:30"
"144","63009440","浙江省","湖州市","安吉县","RR","罗家费水库","ZP","1","1","119.498034","30.483677",,,"苕溪",,,,,,,,,"2/12/2021 10:56:26"
"145","63009450","浙江省","湖州市","安吉县","RR","安吉石马水库","PZ","1","1","119.520777","30.500078",,,"苕溪",,,,,,,,,"2/12/2021 10:56:44"
"146","63009470","浙江省","湖州市","安吉县","ZZ","大邑口","Z","1","1","119.544545","30.584172",,,"苕溪",,,,,,,,,"2/12/2021 10:57:03"
"147","63009480","浙江省","湖州市","安吉县","ZZ","金石坝","PZ","1","1","119.601111","30.583611",,,"苕溪",,,,,,,,,"2/12/2021 10:57:20"
"148","63009490","浙江省","湖州市","安吉县","RR","长坑坞水库","ZP","1","1","119.573672","30.543049",,,"苕溪",,,,,,,,,"2/12/2021 10:57:39"
"149","63009500","浙江省","湖州市","安吉县","RR","凤凰水库","ZP","1","1","119.701188","30.588845",,,"苕溪",,,,,,"62",,,"1/12/2021 18:54:49"
"150","63009520","浙江省","湖州市","安吉县","ZZ","阳光坝","Z","1","1","119.691654","30.676292",,,"苕溪",,,,,,,,,"2/12/2021 10:56:53"
"151","63009530","浙江省","杭州市","余杭区","RR","鱼石岭水库","PZ","1","1","119.74424","30.539736",,,"苕溪",,,,,,,,,"2/12/2021 10:57:10"
"152","63009540","浙江省","湖州市","安吉县","RR","潘村水库","ZP","1","1","119.610211","30.503358",,,"苕溪",,,,,,,,,"2/12/2021 10:57:28"
"153","63009561","浙江省","湖州市","安吉县","ZZ","芜园桥","Z","1","1","119.688","30.639",,,"苕溪",,,,,,,,,"2/12/2021 10:56:24"
"154","63009565","浙江省","湖州市","安吉县","RR","禹山坞水库","PZ","1","1","119.750153","30.625931",,,"苕溪",,,,,,,,,"2/12/2021 10:56:42"
"155","63009570","浙江省","湖州市","安吉县","RR","姚坞里水库","ZP","1","1","119.556944","30.686944",,,"苕溪",,,,,,,,,"2/12/2021 10:57:01"
"156","63009585","浙江省","湖州市","安吉县","RR","安吉大坑水库","ZP","1","1","119.37763","30.671302",,,"苕溪",,,,,,,,,"2/12/2021 10:57:18"
"157","63009590","浙江省","湖州市","安吉县","RR","大河口水库","PZ","1","1","119.518496","30.747872",,,"苕溪",,,,,,"125.04",,,"1/12/2021 18:54:49"
"158","63009900","浙江省","湖州市","安吉县","RR","天子岗水库","PZ","1","1","119.603423","30.832266",,,"苕溪",,,,,,"23.16",,,"2/12/2021 10:56:32"
"159","63009901","浙江省","湖州市","安吉县","RR","草荡水库","PZ","1","1","119.724726","30.830716",,,"苕溪",,,,,,,,,"2/12/2021 10:56:50"
"160","63009905","浙江省","湖州市","安吉县","RR","回龙桥水库","PZ","1","1","119.497","30.565",,,"苕溪",,,,,,,,,"2/12/2021 10:57:08"
"161","63009906","浙江省","湖州市","安吉县","PP","青龙","P","1","1","119.644524","30.697301",,,"苕溪",,,,,,,,,"2/12/2021 14:03:26"
"162","63009950","浙江省","湖州市","安吉县","ZZ","吟诗","PZ","1","1","119.68956","30.798663",,,"苕溪",,,,,,,,,"2/12/2021 10:57:26"
"163","6300AK03","浙江省","杭州市","临安区","ZZ","水涛庄水库","Z","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"164","6300AK04","浙江省","杭州市","临安区","ZZ","里畈水库库下站","Z","1","1","119.61717","30.33526",,,"太湖水系",,,,,,,,,"2/12/2021 10:56:22"
"165","6300EC06","浙江省","湖州市","德清县","ZZ","扎河斗站","Z","1","1","120.14258","30.480116",,,"太湖水系",,,,,,,,,"2/12/2021 10:56:58"
